game_id,team_id,sub_count,avg_sub,total_shots_secondHalf,total_sub_time,shots_before_avgSub,shots_after_avgSub,spm_before,spm_after,spm_diff
1834365,219,2,78.0,10.0,24,9.0,1.0,0.2727272727272727,0.08333333333333333,-0.1893939393939394
1834365,7614,5,67.0,7.0,115,2.0,5.0,0.09090909090909091,0.21739130434782608,0.12648221343873517
1834366,44,5,79.2,10.0,54,5.0,5.0,0.14619883040935672,0.4629629629629631,0.31676413255360636
1834366,219,5,74.4,9.0,78,6.0,3.0,0.20408163265306117,0.19230769230769237,-0.0117739403453688
1834367,283,4,76.25,1.0,55,1.0,0.0,0.032,0.0,-0.032
1834367,1730,5,64.2,2.0,129,0.0,2.0,0.0,0.07751937984496125,0.07751937984496125
1834368,36,5,74.6,6.0,77,3.0,3.0,0.10135135135135137,0.19480519480519473,0.09345384345384336
1834368,45,5,61.6,3.0,142,1.0,2.0,0.06024096385542168,0.07042253521126761,0.01018157135584593
1834369,41,5,70.2,4.0,99,2.0,2.0,0.07936507936507936,0.10101010101010102,0.02164502164502166
1834369,45,5,71.2,14.0,94,8.0,6.0,0.30534351145038163,0.31914893617021284,0.013805424719831205
1834370,37,4,80.25,12.0,39,7.0,5.0,0.19858156028368795,0.5128205128205128,0.3142389525368248
1834370,42,4,66.25,0.0,95,0.0,0.0,0.0,0.0,0.0
1834371,134,5,64.4,5.0,128,2.0,3.0,0.1030927835051546,0.11718750000000003,0.014094716494845422
1834371,4852,5,50.6,13.0,197,3.0,10.0,0.5357142857142856,0.25380710659898476,-0.28190717911530083
1834372,1211,4,67.5,8.0,90,6.0,2.0,0.26666666666666666,0.08888888888888889,-0.17777777777777776
1834372,1730,5,70.8,7.0,96,4.0,3.0,0.1550387596899225,0.15624999999999997,0.001211240310077466
1834373,283,4,67.5,5.0,90,1.0,4.0,0.044444444444444446,0.17777777777777778,0.13333333333333333
1834373,7614,5,68.6,9.0,107,2.0,7.0,0.08474576271186443,0.3271028037383177,0.24235704102645325
1834374,33,5,75.2,3.0,74,2.0,1.0,0.0662251655629139,0.06756756756756759,0.0013424020046536866
1834374,42,4,64.5,4.0,102,0.0,4.0,0.0,0.1568627450980392,0.1568627450980392
1834375,50,5,66.2,5.0,119,1.0,4.0,0.04716981132075471,0.16806722689075632,0.12089741557000161
1834375,796,5,65.4,4.0,123,1.0,3.0,0.04901960784313724,0.12195121951219515,0.0729316116690579
1834376,41,4,74.75,3.0,61,3.0,0.0,0.10084033613445378,0.0,-0.10084033613445378
1834376,44,4,80.5,8.0,38,7.0,1.0,0.19718309859154928,0.10526315789473684,-0.09191994069681245
1834377,50,4,74.5,6.0,62,4.0,2.0,0.13559322033898305,0.12903225806451613,-0.006560962274466925
1834377,1730,3,70.33333333333333,4.0,59,3.0,1.0,0.11842105263157897,0.050847457627118633,-0.06757359500446034
1834378,33,5,54.4,8.0,178,0.0,8.0,0.0,0.2247191011235955,0.2247191011235955
1834378,4852,4,77.0,9.0,52,6.0,3.0,0.1875,0.23076923076923078,0.04326923076923078
1834379,796,5,64.2,8.0,129,6.0,2.0,0.31249999999999994,0.07751937984496125,-0.23498062015503868
1834379,1206,5,72.2,5.0,89,4.0,1.0,0.14705882352941174,0.05617977528089889,-0.09087904824851285
1834380,796,5,62.0,10.0,140,3.0,7.0,0.17647058823529413,0.25,0.07352941176470587
1834380,1211,5,63.6,11.0,132,4.0,7.0,0.2150537634408602,0.26515151515151514,0.05009775171065495
1834381,134,5,71.0,9.0,95,8.0,1.0,0.3076923076923077,0.05263157894736842,-0.2550607287449393
1834381,7614,5,73.4,13.0,83,10.0,3.0,0.35211267605633795,0.18072289156626511,-0.17138978449007283
1834382,50,5,77.4,5.0,65,5.0,0.0,0.15432098765432095,0.0,-0.15432098765432095
1834382,4852,5,55.0,8.0,175,2.0,6.0,0.2,0.17142857142857143,-0.02857142857142858
1834383,109,5,79.8,8.0,51,6.0,2.0,0.1724137931034483,0.19607843137254896,0.023664638269100674
1834383,1211,4,71.25,5.0,75,2.0,3.0,0.0761904761904762,0.16,0.0838095238095238
1834384,42,5,80.8,7.0,46,6.0,1.0,0.1675977653631285,0.10869565217391301,-0.058902113189215496
1834384,1206,5,47.6,6.0,212,0.0,6.0,0.0,0.14150943396226415,0.14150943396226415
1834385,33,5,86.2,7.0,21,7.0,0.0,0.1699029126213592,0.0,-0.1699029126213592
1834385,36,4,66.5,10.0,94,5.0,5.0,0.23255813953488372,0.2127659574468085,-0.019792182088075205
1834386,44,5,80.8,7.0,46,6.0,1.0,0.1675977653631285,0.10869565217391301,-0.058902113189215496
1834386,283,4,73.0,4.0,68,1.0,3.0,0.03571428571428571,0.17647058823529413,0.1407563025210084
1834387,219,5,68.0,2.0,110,0.0,2.0,0.0,0.09090909090909091,0.09090909090909091
1834387,1730,5,65.8,5.0,121,3.0,2.0,0.14423076923076925,0.08264462809917354,-0.061586141131595704
1834388,1211,5,74.0,4.0,80,4.0,0.0,0.13793103448275862,0.0,-0.13793103448275862
1834388,7614,5,62.8,10.0,136,6.0,4.0,0.3370786516853933,0.14705882352941174,-0.19001982815598156
1834389,45,5,73.6,8.0,82,4.0,4.0,0.1398601398601399,0.24390243902439016,0.10404229916425026
1834389,134,3,76.0,4.0,42,2.0,2.0,0.06451612903225806,0.14285714285714285,0.07834101382488479
1834390,36,5,51.4,14.0,193,0.0,14.0,0.0,0.3626943005181347,0.3626943005181347
1834390,42,4,78.5,6.0,48,3.0,3.0,0.08955223880597014,0.2608695652173913,0.17131732641142117
1834392,36,2,87.5,9.0,6,6.0,3.0,0.1411764705882353,1.2,1.0588235294117647
1834392,37,5,70.6,2.0,97,0.0,2.0,0.0,0.1030927835051546,0.1030927835051546
1834393,36,4,73.25,3.0,67,0.0,3.0,0.0,0.1791044776119403,0.1791044776119403
1834393,4852,5,77.4,3.0,65,2.0,1.0,0.061728395061728385,0.0793650793650794,0.017636684303351018
1834394,33,4,74.25,5.0,65,0.0,5.0,0.0,0.31746031746031744,0.31746031746031744
1834394,41,5,79.0,5.0,55,5.0,0.0,0.14705882352941177,0.0,-0.14705882352941177
1834395,37,5,64.4,8.0,128,2.0,6.0,0.1030927835051546,0.23437500000000006,0.13128221649484545
1834395,109,4,81.5,7.0,34,5.0,2.0,0.136986301369863,0.23529411764705882,0.09830781627719581
1834396,45,4,69.75,5.0,81,4.0,1.0,0.16161616161616163,0.04938271604938271,-0.11223344556677892
1834396,1206,5,62.4,7.0,138,1.0,6.0,0.0574712643678161,0.21739130434782608,0.15992003998000998
1834397,42,5,74.0,6.0,81,3.0,3.0,0.10344827586206896,0.1875,0.08405172413793104
1834397,45,5,65.2,7.0,124,3.0,4.0,0.14851485148514848,0.16129032258064518,0.012775471095496704
1834398,219,5,72.8,4.0,86,4.0,0.0,0.14388489208633096,0.0,-0.14388489208633096
1834398,4852,5,58.4,6.0,158,1.0,5.0,0.0746268656716418,0.1582278481012658,0.08360098242962401
1834399,44,5,72.6,9.0,88,4.0,5.0,0.1449275362318841,0.2873563218390804,0.1424287856071963
1834399,1730,5,68.0,5.0,110,1.0,4.0,0.043478260869565216,0.18181818181818182,0.1383399209486166
1834400,45,5,68.8,7.0,106,4.0,3.0,0.16806722689075632,0.14150943396226412,-0.026557792928492197
1834400,796,5,66.2,8.0,119,4.0,4.0,0.18867924528301885,0.16806722689075632,-0.020612018392262538
1834401,1211,3,50.333333333333336,8.0,119,1.0,7.0,0.18749999999999992,0.17647058823529413,-0.011029411764705788
1834401,4852,3,66.0,20.0,72,9.0,11.0,0.42857142857142855,0.4583333333333333,0.029761904761904767
1834402,44,5,67.4,9.0,113,5.0,4.0,0.22321428571428567,0.17699115044247793,-0.04622313527180774
1834402,50,5,74.4,9.0,78,7.0,2.0,0.23809523809523805,0.12820512820512825,-0.1098901098901098
1834403,50,2,59.5,8.0,61,1.0,7.0,0.06896551724137931,0.22950819672131148,0.16054267947993217
