season,season_label,game_id,team,home_away,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711482,Eintracht Frankfurt,home,25.047501711156745,3,6,0.5
2425,2024/2025,711483,Bayer Leverkusen,home,25.419178203175026,2,23,0.08695652173913043
2425,2024/2025,711483,Holstein Kiel,away,26.528991884228024,2,8,0.25
2425,2024/2025,711484,1. FC Union Berlin,home,27.86028129208894,2,14,0.14285714285714285
2425,2024/2025,711484,Borussia Dortmund,away,25.172347707049965,1,8,0.125
2425,2024/2025,711485,Borussia Mönchengladbach,away,25.844650569992208,1,11,0.09090909090909091
2425,2024/2025,711485,FC Augsburg,home,26.066674719168983,2,15,0.13333333333333333
2425,2024/2025,711486,VfL Wolfsburg,home,25.167576024249534,2,14,0.14285714285714285
2425,2024/2025,711486,Werder Bremen,away,26.069900752908968,4,15,0.26666666666666666
2425,2024/2025,711487,TSG Hoffenheim,home,25.51605227991265,3,12,0.25
2425,2024/2025,711487,VfL Bochum,away,27.461173301538935,1,13,0.07692307692307693
2425,2024/2025,711488,FC Augsburg,away,26.066674719168983,1,9,0.1111111111111111
2425,2024/2025,711488,SC Freiburg,home,26.786376832117824,3,15,0.2
2425,2024/2025,711489,1. FC Union Berlin,away,27.86028129208894,2,14,0.14285714285714285
2425,2024/2025,711489,Holstein Kiel,home,26.528991884228024,0,12,0.0
2425,2024/2025,711490,Bayern Munich,home,25.752305028787696,4,22,0.18181818181818182
2425,2024/2025,711490,VfB Stuttgart,away,24.942505133470227,0,4,0.0
2425,2024/2025,711491,1. FC Heidenheim 1846,away,27.525124501404328,2,19,0.10526315789473684
2425,2024/2025,711491,Borussia Mönchengladbach,home,25.844650569992208,3,20,0.15
2425,2024/2025,711492,Borussia Dortmund,home,25.172347707049965,2,20,0.1
2425,2024/2025,711492,St. Pauli,away,26.03293473446874,1,10,0.1
2425,2024/2025,711493,Bayer Leverkusen,home,25.419178203175026,2,27,0.07407407407407407
2425,2024/2025,711493,Eintracht Frankfurt,away,25.047501711156745,1,9,0.1111111111111111
2425,2024/2025,711494,Mainz,home,27.409015351520484,0,17,0.0
2425,2024/2025,711494,RB Leipzig,away,24.251334702258728,2,11,0.18181818181818182
2425,2024/2025,711495,1. FC Heidenheim 1846,home,27.525124501404328,0,17,0.0
2425,2024/2025,711495,TSG Hoffenheim,away,25.51605227991265,0,12,0.0
2425,2024/2025,711496,1. FC Union Berlin,home,27.86028129208894,1,13,0.07692307692307693
2425,2024/2025,711496,Eintracht Frankfurt,away,25.047501711156745,1,17,0.058823529411764705
2425,2024/2025,711497,Borussia Mönchengladbach,away,25.844650569992208,1,9,0.1111111111111111
2425,2024/2025,711497,Mainz,home,27.409015351520484,1,23,0.043478260869565216
2425,2024/2025,711498,Borussia Dortmund,away,25.172347707049965,1,11,0.09090909090909091
2425,2024/2025,711498,FC Augsburg,home,26.066674719168983,2,12,0.16666666666666666
2425,2024/2025,711499,Bayern Munich,away,25.752305028787696,5,19,0.2631578947368421
2425,2024/2025,711499,VfL Bochum,home,27.461173301538935,0,6,0.0
2425,2024/2025,711500,RB Leipzig,home,24.251334702258728,3,12,0.25
2425,2024/2025,711500,SC Freiburg,away,26.786376832117824,1,15,0.06666666666666667
2425,2024/2025,711501,Bayer Leverkusen,away,25.419178203175026,2,14,0.14285714285714285
2425,2024/2025,711501,Werder Bremen,home,26.069900752908968,2,13,0.15384615384615385
2425,2024/2025,711502,Holstein Kiel,away,26.528991884228024,1,9,0.1111111111111111
2425,2024/2025,711502,VfB Stuttgart,home,24.942505133470227,2,16,0.125
2425,2024/2025,711503,St. Pauli,home,26.03293473446874,0,14,0.0
2425,2024/2025,711503,VfL Wolfsburg,away,25.167576024249534,0,9,0.0
2425,2024/2025,711504,Bayer Leverkusen,home,25.419178203175026,0,19,0.0
2425,2024/2025,711504,VfB Stuttgart,away,24.942505133470227,0,4,0.0
2425,2024/2025,711505,Borussia Dortmund,home,25.172347707049965,2,20,0.1
2425,2024/2025,711505,RB Leipzig,away,24.251334702258728,1,7,0.14285714285714285
2425,2024/2025,711506,FC Augsburg,away,26.066674719168983,1,3,0.3333333333333333
2425,2024/2025,711506,VfL Wolfsburg,home,25.167576024249534,1,18,0.05555555555555555
2425,2024/2025,711507,St. Pauli,away,26.03293473446874,2,7,0.2857142857142857
2425,2024/2025,711507,TSG Hoffenheim,home,25.51605227991265,0,12,0.0
2425,2024/2025,711508,Mainz,away,27.409015351520484,0,9,0.0
2425,2024/2025,711508,SC Freiburg,home,26.786376832117824,0,10,0.0
2425,2024/2025,711509,1. FC Heidenheim 1846,away,27.525124501404328,0,17,0.0
2425,2024/2025,711509,Holstein Kiel,home,26.528991884228024,1,11,0.09090909090909091
2425,2024/2025,711510,1. FC Union Berlin,away,27.86028129208894,0,8,0.0
2425,2024/2025,711510,Bayern Munich,home,25.752305028787696,3,16,0.1875
2425,2024/2025,711511,Eintracht Frankfurt,home,25.047501711156745,7,18,0.3888888888888889
2425,2024/2025,711511,VfL Bochum,away,27.461173301538935,2,11,0.18181818181818182
2425,2024/2025,711512,Borussia Mönchengladbach,home,25.844650569992208,4,16,0.25
2425,2024/2025,711512,Werder Bremen,away,26.069900752908968,1,15,0.06666666666666667
2425,2024/2025,711513,1. FC Heidenheim 1846,home,27.525124501404328,1,19,0.05263157894736842
2425,2024/2025,711513,VfL Wolfsburg,away,25.167576024249534,3,13,0.23076923076923078
2425,2024/2025,711514,Eintracht Frankfurt,away,25.047501711156745,3,8,0.375
2425,2024/2025,711514,VfB Stuttgart,home,24.942505133470227,2,22,0.09090909090909091
2425,2024/2025,711515,Holstein Kiel,away,26.528991884228024,1,12,0.08333333333333333
2425,2024/2025,711515,Werder Bremen,home,26.069900752908968,2,16,0.125
2425,2024/2025,711516,Borussia Mönchengladbach,away,25.844650569992208,0,14,0.0
2425,2024/2025,711516,RB Leipzig,home,24.251334702258728,0,12,0.0
2425,2024/2025,711517,Bayer Leverkusen,away,25.419178203175026,1,11,0.09090909090909091
2425,2024/2025,711517,VfL Bochum,home,27.461173301538935,1,15,0.06666666666666667
2425,2024/2025,711518,FC Augsburg,home,26.066674719168983,0,16,0.0
2425,2024/2025,711518,TSG Hoffenheim,away,25.51605227991265,0,11,0.0
2425,2024/2025,711519,Borussia Dortmund,away,25.172347707049965,1,2,0.5
2425,2024/2025,711519,Mainz,home,27.409015351520484,3,13,0.23076923076923078
