season,season_label,team,player,age_ref
2324,2023/2024,Borussia Dortmund,Kjell-Arik Wätjen,18.368240930869263
2324,2023/2024,Borussia Dortmund,Marcel Lotka,23.09924709103354
2324,2023/2024,Borussia Dortmund,Marcel Sabitzer,30.28884325804244
2324,2023/2024,Borussia Dortmund,Marco Reus,35.082819986310746
2324,2023/2024,Borussia Dortmund,Marius Wolf,29.09514031485284
2324,2023/2024,Borussia Dortmund,Mateu Morey,24.40520191649555
2324,2023/2024,Borussia Dortmund,Mats Hummels,35.53730321697468
2324,2023/2024,Borussia Dortmund,Niclas Füllkrug,30.82546201232033
2324,2023/2024,Borussia Dortmund,Nico Schlotterbeck,25.464750171115675
2324,2023/2024,Borussia Dortmund,Niklas Süle,29.31143052703628
2324,2023/2024,Borussia Dortmund,Ole Pohlmann,23.156741957563312
2324,2023/2024,Borussia Dortmund,Paris Brunner,18.3709787816564
2324,2023/2024,Borussia Dortmund,Ramy Bensebaini,29.20739219712525
2324,2023/2024,Borussia Dortmund,Salih Özcan,25.661875427789184
2324,2023/2024,Borussia Dortmund,Samuel Bamba,20.37782340862423
2324,2023/2024,Borussia Dortmund,Sébastien Haller,30.023271731690624
2324,2023/2024,Borussia Dortmund,Thomas Meunier,32.558521560574945
2324,2023/2024,Borussia Dortmund,Thorgan Hazard,31.255304585900067
2324,2023/2024,Borussia Dortmund,Youssoufa Moukoko,19.60848733744011
2324,2023/2024,Borussia Mönchengladbach,Alassane Pléa,30.740588637919235
2324,2023/2024,Borussia Mönchengladbach,Christoph Kramer,33.360711841204655
2324,2023/2024,Borussia Mönchengladbach,Fabio Chiarodia,19.15126625598905
2324,2023/2024,Borussia Mönchengladbach,Florian Neuhaus,27.290896646132783
2324,2023/2024,Borussia Mönchengladbach,Franck Honorat,27.64134154688569
2324,2023/2024,Borussia Mönchengladbach,Grant-Leon Ranos,20.947296372347708
2324,2023/2024,Borussia Mönchengladbach,Jan Olschowsky,22.61464750171116
2324,2023/2024,Borussia Mönchengladbach,Joe Scally,21.49760438056126
2324,2023/2024,Borussia Mönchengladbach,Jonas Omlin,29.74674880219028
2324,2023/2024,Borussia Mönchengladbach,Jordan Pefok,28.177960301163587
2324,2023/2024,Borussia Mönchengladbach,Julian Weigl,28.892539356605067
2324,2023/2024,Borussia Mönchengladbach,Kou Itakura,27.42231348391513
2324,2023/2024,Borussia Mönchengladbach,Luca Netz,21.127994524298423
2324,2023/2024,Borussia Mönchengladbach,Lukas Ullrich,20.290212183436
2324,2023/2024,Borussia Mönchengladbach,Manu Koné,23.1211498973306
2324,2023/2024,Borussia Mönchengladbach,Marvin Friedrich,28.54757015742642
2324,2023/2024,Borussia Mönchengladbach,Maximilian Wöber,26.245037645448324
2324,2023/2024,Borussia Mönchengladbach,Moritz Nicolas,26.691307323750856
2324,2023/2024,Borussia Mönchengladbach,Nathan N'Goumou,24.295687885010267
2324,2023/2024,Borussia Mönchengladbach,Nico Elvedi,27.74811772758385
2324,2023/2024,Borussia Mönchengladbach,Patrick Herrmann,32.577686516084874
2324,2023/2024,Borussia Mönchengladbach,Robin Hack,25.842573579739906
2324,2023/2024,Borussia Mönchengladbach,Rocco Reitz,22.088980150581797
2324,2023/2024,Borussia Mönchengladbach,Shio Fukuda,19.904175222450377
2324,2023/2024,Borussia Mönchengladbach,Simon Walde,19.247091033538677
2324,2023/2024,Borussia Mönchengladbach,Stefan Lainer,31.84120465434634
2324,2023/2024,Borussia Mönchengladbach,Tobias Sippel,36.27378507871321
2324,2023/2024,Borussia Mönchengladbach,Tomas Cvancara,23.87953456536619
2324,2023/2024,Borussia Mönchengladbach,Tony Jantschke,33.99041752224504
2324,2023/2024,Borussia Mönchengladbach,Yvandro Borges Sanches,20.10130047912389
2324,2023/2024,Eintracht Frankfurt,Ansgar Knauff,21.74674880219028
2324,2023/2024,Eintracht Frankfurt,Buta,26.74332648870637
2324,2023/2024,Eintracht Frankfurt,Christopher Lenz,29.77138945927447
2324,2023/2024,Eintracht Frankfurt,Donny van de Beek,27.200547570157426
2324,2023/2024,Eintracht Frankfurt,Elias Baum,18.6776180698152
2324,2023/2024,Eintracht Frankfurt,Ellyes Skhiri,28.736481861738536
2324,2023/2024,Eintracht Frankfurt,Farès Chaïbi,21.587953456536617
2324,2023/2024,Eintracht Frankfurt,Hrvoje Smolcic,23.86858316221766
2324,2023/2024,Eintracht Frankfurt,Hugo Ekitike,22.028747433264886
2324,2023/2024,Eintracht Frankfurt,Hugo Larsson,20.0082135523614
2324,2023/2024,Eintracht Frankfurt,Jean-Mattéo Bahoya,18.98699520876112
2324,2023/2024,Eintracht Frankfurt,Jens Grahl,35.7700205338809
2324,2023/2024,Eintracht Frankfurt,Jens Petter Hauge,24.555783709787818
2324,2023/2024,Eintracht Frankfurt,Jesper Lindstrom,24.33401779603012
2324,2023/2024,Eintracht Frankfurt,Jessic Ngankam,23.94524298425736
2324,2023/2024,Eintracht Frankfurt,Junior Dina Ebimbe,23.60574948665298
2324,2023/2024,Eintracht Frankfurt,Kauã Santos,20.65434633812457
2324,2023/2024,Eintracht Frankfurt,Kevin Trapp,33.89733059548254
2324,2023/2024,Eintracht Frankfurt,Kristijan Jakic,27.129363449691997
2324,2023/2024,Eintracht Frankfurt,Makoto Hasebe,40.44900752908966
2324,2023/2024,Eintracht Frankfurt,Mario Götze,32.31759069130732
2324,2023/2024,Eintracht Frankfurt,Marko Mladenovic,19.41409993155373
2324,2023/2024,Eintracht Frankfurt,Nacho Ferri,20.139630390143736
2324,2023/2024,Eintracht Frankfurt,Niels Nkounkou,24.468172484599588
2324,2023/2024,Eintracht Frankfurt,Nnamdi Collins,19.745379876796715
2324,2023/2024,Eintracht Frankfurt,Omar Marmoush,24.996577686516083
2324,2023/2024,Eintracht Frankfurt,Paxten Aaronson,20.84599589322382
2324,2023/2024,Eintracht Frankfurt,Philipp Max,30.748802190280628
2324,2023/2024,Eintracht Frankfurt,Randal Kolo Muani,26.13552361396304
2324,2023/2024,Eintracht Frankfurt,Robin Koch,27.95345653661876
2324,2023/2024,Eintracht Frankfurt,Sasa Kalajdzic,26.981519507186857
2324,2023/2024,Eintracht Frankfurt,Sebastian Rode,33.637234770705
2324,2023/2024,Eintracht Frankfurt,Simon Simoni,19.96167008898015
2324,2023/2024,Eintracht Frankfurt,Timothy Chandler,34.25598904859685
2324,2023/2024,Eintracht Frankfurt,Tuta,25.232032854209447
2324,2023/2024,Eintracht Frankfurt,Willian Pacho,22.704996577686515
2324,2023/2024,FC Augsburg,Arne Engels,20.892539356605067
2324,2023/2024,FC Augsburg,Arne Maier,24.914442162902123
2324,2023/2024,FC Augsburg,Daniel Hausmann,20.577686516084874
2324,2023/2024,FC Augsburg,David Colina,23.94798083504449
2324,2023/2024,FC Augsburg,David Deger,24.37782340862423
2324,2023/2024,FC Augsburg,Dion Drena Beljo,22.48870636550308
2324,2023/2024,FC Augsburg,Elvis Rexhbecaj,27.46611909650924
2324,2023/2024,FC Augsburg,Ermedin Demirovic,26.26694045174538
2324,2023/2024,FC Augsburg,Felix Uduokhai,26.806297056810404
2324,2023/2024,FC Augsburg,Finn Dahmen,26.261464750171115
2324,2023/2024,FC Augsburg,Frederik Winther,23.247091033538677
2324,2023/2024,FC Augsburg,Fredrik Oldrup Jensen,31.11841204654346
2324,2023/2024,FC Augsburg,Iago,27.27173169062286
2324,2023/2024,FC Augsburg,Irvin Cardona,26.89390828199863
2324,2023/2024,FC Augsburg,Japhet Tanganga,25.25119780971937
2324,2023/2024,FC Augsburg,Jeffrey Gouweleeuw,32.73100616016427
2324,2023/2024,FC Augsburg,Kevin Mbabu,29.19917864476386
2324,2023/2024,FC Augsburg,Kristijan Jakic,27.129363449691997
2324,2023/2024,FC Augsburg,Mads Pedersen,28.47364818617385
2324,2023/2024,FC Augsburg,Mahmut Kücüksahin,19.98904859685147
2324,2023/2024,FC Augsburg,Marcel Lubik,20.11498973305955
2324,2023/2024,FC Augsburg,Masaya Okugawa,28.21081451060917
2324,2023/2024,FC Augsburg,Maximilian Bauer,23.824777549623544
2324,2023/2024,FC Augsburg,Mergim Berisha,25.650924024640656
2324,2023/2024,FC Augsburg,Mert Kömür,18.954140999315538
2324,2023/2024,FC Augsburg,Nathanaël Mbuku,22.29158110882957
2324,2023/2024,FC Augsburg,Niklas Dorsch,26.455852156057496
2324,2023/2024,FC Augsburg,Patric Pfeiffer,24.862422997946613
2324,2023/2024,FC Augsburg,Pep Biel,28.142368240930868
2324,2023/2024,FC Augsburg,Phillip Tietz,26.811772758384667
2324,2023/2024,FC Augsburg,Robert Gumny,26.2340862422998
2324,2023/2024,FC Augsburg,Rubén Vargas,26.14647501711157
2324,2023/2024,FC Augsburg,Sven Michel,33.960301163586585
2324,2023/2024,FC Augsburg,Tim Breithaupt,21.9958932238193
2324,2023/2024,FC Augsburg,Tomas Koubek,31.84394250513347
2324,2023/2024,FC Cologne,Benno Schmitz,29.61806981519507
2324,2023/2024,FC Cologne,Damion Downs,20.06297056810404
2324,2023/2024,FC Cologne,Davie Selke,29.44284736481862
2324,2023/2024,FC Cologne,Dejan Ljubicic,26.888432580424368
2324,2023/2024,FC Cologne,Denis Huseinbasic,23.31553730321697
2324,2023/2024,FC Cologne,Dimitrios Limnios,26.094455852156056
2324,2023/2024,FC Cologne,Dominique Heintz,30.874743326488705
2324,2023/2024,FC Cologne,Elias-Geoffrey Bakatukanda,20.213552361396303
2324,2023/2024,FC Cologne,Eric Martel,22.17111567419576
2324,2023/2024,FC Cologne,Faride Alidou,22.951403148528406
2324,2023/2024,FC Cologne,Florian Dietz,26.313483915126625
2324,2023/2024,FC Cologne,Florian Kainz,31.68240930869268
2324,2023/2024,FC Cologne,Jacob Christensen,23.014373716632445
2324,2023/2024,FC Cologne,Jan Thielmann,22.09719370294319
2324,2023/2024,FC Cologne,Jeff Chabot,25.57700205338809
2324,2023/2024,FC Cologne,Justin Diehl,19.589322381930184
2324,2023/2024,FC Cologne,Kristian Pedersen,30.22861054072553
2324,2023/2024,FC Cologne,Leart Paqarada,29.88911704312115
2324,2023/2024,FC Cologne,Linton Maina,25.021218343600275
2324,2023/2024,FC Cologne,Luca Kilian,25.472963723477072
2324,2023/2024,FC Cologne,Luca Waldschmidt,28.11498973305955
2324,2023/2024,FC Cologne,Mark Uth,32.851471594798085
2324,2023/2024,FC Cologne,Marvin Schwäbe,29.182751540041068
2324,2023/2024,FC Cologne,Mathias Olesen,23.277207392197127
2324,2023/2024,FC Cologne,Matthias Köbbing,27.091033538672143
2324,2023/2024,FC Cologne,Max Finkgrafe,20.26009582477755
2324,2023/2024,FC Cologne,Philipp Pentke,39.48254620123203
2324,2023/2024,FC Cologne,Rasmus Carstensen,23.718001368925396
2324,2023/2024,FC Cologne,Sargis Adamyan,31.1047227926078
2324,2023/2024,FC Cologne,Steffen Tigges,25.916495550992472
2324,2023/2024,FC Cologne,Timo Hübers,27.94524298425736
2324,2023/2024,Mainz,Andreas Hanche-Olsen,27.449691991786448
2324,2023/2024,Mainz,Anthony Caci,27.477070499657767
2324,2023/2024,Mainz,Anton Stach,25.623545516769337
2324,2023/2024,Mainz,Anwar El Ghazi,29.322381930184804
2324,2023/2024,Mainz,Aymen Barkok,26.11088295687885
2324,2023/2024,Mainz,Brajan Gruda,20.082135523613964
2324,2023/2024,Mainz,Daniel Batz,32.580424366872
2324,2023/2024,Mainz,Danny da Costa,30.965092402464062
2324,2023/2024,Mainz,David Mamutovic,24.134154688569478
2324,2023/2024,Mainz,Dominik Kohr,30.412046543463383
2324,2023/2024,Mainz,Edimilson Fernandes,28.20807665982204
2324,2023/2024,Mainz,Jessic Ngankam,23.94524298425736
2324,2023/2024,Mainz,Jonathan Burkardt,23.644079397672822
2324,2023/2024,Mainz,Josuha Guilavogui,33.779603011635864
2324,2023/2024,Mainz,Karim Onisiwo,32.28747433264887
2324,2023/2024,Mainz,Lasse Rieß,22.92676249144421
2324,2023/2024,Mainz,Lasse Wilhelm,21.281314168377826
2324,2023/2024,Mainz,Leandro Barreiro,24.331279945242983
2324,2023/2024,Mainz,Lee Jae-Sung,31.72621492128679
2324,2023/2024,Mainz,Ludovic Ajorque,30.34360027378508
2324,2023/2024,Mainz,Marco Richter,26.598220396988363
2324,2023/2024,Mainz,Marcus Müller,21.861738535249827
2324,2023/2024,Mainz,Maxim Dal,18.42573579739904
2324,2023/2024,Mainz,Maxim Leitsch,26.119096509240247
2324,2023/2024,Mainz,Merveille Papela,23.44695414099932
2324,2023/2024,Mainz,Nadiem Amiri,27.67419575633128
2324,2023/2024,Mainz,Nelson Weiper,19.28815879534565
2324,2023/2024,Mainz,Phillipp Mwene,30.417522245037645
2324,2023/2024,Mainz,Robin Zentner,29.67282683093772
2324,2023/2024,Mainz,Sepp van den Berg,22.527036276522928
2324,2023/2024,Mainz,Silvan Widmer,31.159479808350444
2324,2023/2024,Mainz,Stefan Bell,32.851471594798085
2324,2023/2024,Mainz,Tim Müller,28.22724161533197
2324,2023/2024,Mainz,Tom Krauss,23.02258726899384
2324,2023/2024,RB Leipzig,Amadou Haidara,26.412046543463383
2324,2023/2024,RB Leipzig,Benjamin Henrichs,27.34839151266256
2324,2023/2024,RB Leipzig,Benjamin Sesko,21.084188911704317
2324,2023/2024,RB Leipzig,Castello Lukeba,21.53593429158111
2324,2023/2024,RB Leipzig,Christoph Baumgartner,25.475701574264203
2324,2023/2024,RB Leipzig,Christopher Lenz,29.77138945927447
2324,2023/2024,RB Leipzig,Dani Olmo,25.987679671457904
2324,2023/2024,RB Leipzig,David Raum,26.190280629705683
