league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
3,2022,19443,2022-10-30 14:30:00,240,130,Union Berlin,Borussia M.Gladbach,BMG,UNI,2,1,1.28667,1.01241,True,True,https://understat.com/match/19443
3,2022,19453,2022-11-04 18:30:00,130,133,Borussia M.Gladbach,VfB Stuttgart,STU,BMG,3,1,1.33462,1.46207,True,True,https://understat.com/match/19453
3,2022,19454,2022-11-05 14:30:00,121,132,Augsburg,Eintracht Frankfurt,EIN,AUG,1,2,1.07354,1.31556,True,True,https://understat.com/match/19454
3,2022,19457,2022-11-05 14:30:00,129,268,Borussia Dortmund,Bochum,BOC,DOR,3,0,1.43174,0.496214,True,True,https://understat.com/match/19457
3,2022,19455,2022-11-05 14:30:00,122,117,Hertha Berlin,Bayern Munich,BAY,HER,2,3,1.09255,2.23326,True,True,https://understat.com/match/19455
3,2022,19452,2022-11-05 14:30:00,120,136,Hoffenheim,RasenBallsport Leipzig,RBL,HOF,1,3,1.16126,1.66347,True,True,https://understat.com/match/19452
3,2022,19451,2022-11-05 14:30:00,125,131,Mainz 05,Wolfsburg,WOL,MAI,0,3,1.24483,0.809102,True,True,https://understat.com/match/19451
3,2022,19456,2022-11-05 17:30:00,123,124,Werder Bremen,Schalke 04,SCH,WER,2,1,1.33073,1.35128,True,True,https://understat.com/match/19456
3,2022,19458,2022-11-06 14:30:00,119,240,Bayer Leverkusen,Union Berlin,UNI,LEV,5,0,1.7807,0.231839,True,True,https://understat.com/match/19458
3,2022,19450,2022-11-06 16:30:00,135,134,Freiburg,FC Cologne,COL,FRE,2,0,1.46258,0.995484,True,True,https://understat.com/match/19450
3,2022,19459,2022-11-08 19:30:00,117,123,Bayern Munich,Werder Bremen,WER,BAY,6,1,5.72728,1.44045,True,True,https://understat.com/match/19459
3,2022,19465,2022-11-08 19:30:00,268,130,Bochum,Borussia M.Gladbach,BMG,BOC,2,1,1.68574,0.766603,True,True,https://understat.com/match/19465
3,2022,19466,2022-11-08 19:30:00,133,122,VfB Stuttgart,Hertha Berlin,HER,STU,2,1,2.00216,1.05233,True,True,https://understat.com/match/19466
3,2022,19464,2022-11-08 17:30:00,131,129,Wolfsburg,Borussia Dortmund,DOR,WOL,2,0,2.9101,1.29685,True,True,https://understat.com/match/19464
3,2022,19463,2022-11-09 19:30:00,132,120,Eintracht Frankfurt,Hoffenheim,HOF,EIN,4,2,3.78193,1.52829,True,True,https://understat.com/match/19463
3,2022,19462,2022-11-09 17:30:00,134,119,FC Cologne,Bayer Leverkusen,LEV,COL,1,2,1.38128,1.04474,True,True,https://understat.com/match/19462
3,2022,19460,2022-11-09 19:30:00,136,135,RasenBallsport Leipzig,Freiburg,FRE,RBL,3,1,3.28873,0.148116,True,True,https://understat.com/match/19460
3,2022,19467,2022-11-09 19:30:00,124,125,Schalke 04,Mainz 05,MAI,SCH,1,0,1.97962,0.60888,True,True,https://understat.com/match/19467
3,2022,19461,2022-11-09 19:30:00,240,121,Union Berlin,Augsburg,AUG,UNI,2,2,1.84012,0.29444,True,True,https://understat.com/match/19461
3,2022,19472,2022-11-11 19:30:00,130,129,Borussia M.Gladbach,Borussia Dortmund,DOR,BMG,4,2,2.64014,3.6823,True,True,https://understat.com/match/19472
3,2022,19473,2022-11-12 14:30:00,121,268,Augsburg,Bochum,BOC,AUG,0,1,2.34583,1.13531,True,True,https://understat.com/match/19473
3,2022,19468,2022-11-12 14:30:00,119,133,Bayer Leverkusen,VfB Stuttgart,STU,LEV,2,0,1.88305,0.277105,True,True,https://understat.com/match/19468
3,2022,19474,2022-11-12 14:30:00,122,134,Hertha Berlin,FC Cologne,COL,HER,2,0,2.13441,1.93705,True,True,https://understat.com/match/19474
3,2022,19471,2022-11-12 14:30:00,120,131,Hoffenheim,Wolfsburg,WOL,HOF,1,2,1.42352,0.94899,True,True,https://understat.com/match/19471
3,2022,19475,2022-11-12 17:30:00,124,117,Schalke 04,Bayern Munich,BAY,SCH,0,2,0.891772,1.65233,True,True,https://understat.com/match/19475
3,2022,19476,2022-11-12 14:30:00,123,136,Werder Bremen,RasenBallsport Leipzig,RBL,WER,1,2,1.03468,2.1323,True,True,https://understat.com/match/19476
3,2022,19469,2022-11-13 16:30:00,135,240,Freiburg,Union Berlin,UNI,FRE,4,1,2.69015,1.65553,True,True,https://understat.com/match/19469
3,2022,19470,2022-11-13 14:30:00,125,132,Mainz 05,Eintracht Frankfurt,EIN,MAI,1,1,1.78634,1.39797,True,True,https://understat.com/match/19470
3,2022,19478,2023-01-20 19:30:00,136,117,RasenBallsport Leipzig,Bayern Munich,BAY,RBL,1,1,1.03072,0.813529,True,True,https://understat.com/match/19478
3,2022,19484,2023-01-21 14:30:00,268,122,Bochum,Hertha Berlin,HER,BOC,3,1,1.67446,0.732458,True,True,https://understat.com/match/19484
3,2022,19482,2023-01-21 14:30:00,132,124,Eintracht Frankfurt,Schalke 04,SCH,EIN,3,0,1.68109,2.37825,True,True,https://understat.com/match/19482
3,2022,19480,2023-01-21 17:30:00,134,123,FC Cologne,Werder Bremen,WER,COL,7,1,3.1904,0.252782,True,True,https://understat.com/match/19480
3,2022,19479,2023-01-21 14:30:00,240,120,Union Berlin,Hoffenheim,HOF,UNI,3,1,2.48055,0.966541,True,True,https://understat.com/match/19479
3,2022,19485,2023-01-21 14:30:00,133,125,VfB Stuttgart,Mainz 05,MAI,STU,1,1,1.8803,1.38032,True,True,https://understat.com/match/19485
3,2022,19483,2023-01-21 14:30:00,131,135,Wolfsburg,Freiburg,FRE,WOL,6,0,2.88084,0.808738,True,True,https://understat.com/match/19483
3,2022,19477,2023-01-22 14:30:00,129,121,Borussia Dortmund,Augsburg,AUG,DOR,4,3,3.27016,1.92914,True,True,https://understat.com/match/19477
3,2022,19481,2023-01-22 16:30:00,130,119,Borussia M.Gladbach,Bayer Leverkusen,LEV,BMG,2,3,0.993895,1.68471,True,True,https://understat.com/match/19481
3,2022,19486,2023-01-24 19:30:00,117,134,Bayern Munich,FC Cologne,COL,BAY,1,1,1.4893,0.782641,True,True,https://understat.com/match/19486
3,2022,19492,2023-01-24 19:30:00,122,131,Hertha Berlin,Wolfsburg,WOL,HER,0,5,0.572863,2.94882,True,True,https://understat.com/match/19492
3,2022,19490,2023-01-24 19:30:00,120,133,Hoffenheim,VfB Stuttgart,STU,HOF,2,2,1.82139,0.658333,True,True,https://understat.com/match/19490
3,2022,19493,2023-01-24 17:30:00,124,136,Schalke 04,RasenBallsport Leipzig,RBL,SCH,1,6,0.503614,4.23438,True,True,https://understat.com/match/19493
3,2022,19491,2023-01-25 19:30:00,121,130,Augsburg,Borussia M.Gladbach,BMG,AUG,1,0,0.869679,0.512384,True,True,https://understat.com/match/19491
3,2022,19487,2023-01-25 19:30:00,119,268,Bayer Leverkusen,Bochum,BOC,LEV,2,0,1.8906,0.821758,True,True,https://understat.com/match/19487
3,2022,19488,2023-01-25 19:30:00,135,132,Freiburg,Eintracht Frankfurt,EIN,FRE,1,1,1.78609,0.261869,True,True,https://understat.com/match/19488
3,2022,19489,2023-01-25 17:30:00,125,129,Mainz 05,Borussia Dortmund,DOR,MAI,1,2,0.84968,1.15874,True,True,https://understat.com/match/19489
3,2022,19494,2023-01-25 19:30:00,123,240,Werder Bremen,Union Berlin,UNI,WER,1,2,0.566574,1.05412,True,True,https://understat.com/match/19494
3,2022,19497,2023-01-27 19:30:00,136,133,RasenBallsport Leipzig,VfB Stuttgart,STU,RBL,2,1,1.59146,1.86965,True,True,https://understat.com/match/19497
3,2022,19495,2023-01-28 17:30:00,117,132,Bayern Munich,Eintracht Frankfurt,EIN,BAY,1,1,1.38005,0.882875,True,True,https://understat.com/match/19495
3,2022,19498,2023-01-28 14:30:00,135,121,Freiburg,Augsburg,AUG,FRE,3,1,1.92228,2.00438,True,True,https://understat.com/match/19498
3,2022,19501,2023-01-28 14:30:00,122,240,Hertha Berlin,Union Berlin,UNI,HER,0,2,0.46457,0.884274,True,True,https://understat.com/match/19501
3,2022,19500,2023-01-28 14:30:00,120,130,Hoffenheim,Borussia M.Gladbach,BMG,HOF,1,4,1.96043,1.79941,True,True,https://understat.com/match/19500
3,2022,19499,2023-01-28 14:30:00,125,268,Mainz 05,Bochum,BOC,MAI,5,2,2.86841,0.912111,True,True,https://understat.com/match/19499
3,2022,19503,2023-01-28 14:30:00,123,131,Werder Bremen,Wolfsburg,WOL,WER,2,1,1.80059,0.696581,True,True,https://understat.com/match/19503
3,2022,19496,2023-01-29 16:30:00,119,129,Bayer Leverkusen,Borussia Dortmund,DOR,LEV,0,2,1.84499,0.977834,True,True,https://understat.com/match/19496
3,2022,19502,2023-01-29 14:30:00,124,134,Schalke 04,FC Cologne,COL,SCH,0,0,1.11694,0.329216,True,True,https://understat.com/match/19502
3,2022,19511,2023-02-03 19:30:00,121,119,Augsburg,Bayer Leverkusen,LEV,AUG,1,0,0.924397,0.461505,True,True,https://understat.com/match/19511
3,2022,19510,2023-02-04 14:30:00,268,120,Bochum,Hoffenheim,HOF,BOC,5,2,2.74719,0.82308,True,True,https://understat.com/match/19510
3,2022,19504,2023-02-04 14:30:00,129,135,Borussia Dortmund,Freiburg,FRE,DOR,5,1,2.10421,0.243795,True,True,https://understat.com/match/19504
3,2022,19507,2023-02-04 17:30:00,130,124,Borussia M.Gladbach,Schalke 04,SCH,BMG,0,0,1.12913,1.18272,True,True,https://understat.com/match/19507
3,2022,19508,2023-02-04 14:30:00,132,122,Eintracht Frankfurt,Hertha Berlin,HER,EIN,3,0,2.00234,0.93959,True,True,https://understat.com/match/19508
3,2022,19506,2023-02-04 14:30:00,134,136,FC Cologne,RasenBallsport Leipzig,RBL,COL,0,0,0.607143,1.00025,True,True,https://understat.com/match/19506
3,2022,19505,2023-02-04 14:30:00,240,125,Union Berlin,Mainz 05,MAI,UNI,2,1,0.978155,1.09283,True,True,https://understat.com/match/19505
3,2022,19512,2023-02-05 14:30:00,133,123,VfB Stuttgart,Werder Bremen,WER,STU,0,2,1.48817,0.45062,True,True,https://understat.com/match/19512
3,2022,19509,2023-02-05 16:30:00,131,117,Wolfsburg,Bayern Munich,BAY,WOL,2,4,2.39463,0.568665,True,True,https://understat.com/match/19509
3,2022,19520,2023-02-10 19:30:00,124,131,Schalke 04,Wolfsburg,WOL,SCH,0,0,0.999355,1.39713,True,True,https://understat.com/match/19520
3,2022,19513,2023-02-11 14:30:00,117,268,Bayern Munich,Bochum,BOC,BAY,3,0,4.37602,0.242356,True,True,https://understat.com/match/19513
3,2022,19515,2023-02-11 14:30:00,135,133,Freiburg,VfB Stuttgart,STU,FRE,2,1,2.21054,1.02739,True,True,https://understat.com/match/19515
3,2022,19518,2023-02-11 14:30:00,120,119,Hoffenheim,Bayer Leverkusen,LEV,HOF,1,3,0.781599,1.47655,True,True,https://understat.com/match/19518
3,2022,19517,2023-02-11 14:30:00,125,121,Mainz 05,Augsburg,AUG,MAI,3,1,4.00745,1.45453,True,True,https://understat.com/match/19517
3,2022,19514,2023-02-11 17:30:00,136,240,RasenBallsport Leipzig,Union Berlin,UNI,RBL,1,2,0.891399,1.04126,True,True,https://understat.com/match/19514
3,2022,19521,2023-02-11 14:30:00,123,129,Werder Bremen,Borussia Dortmund,DOR,WER,0,2,0.587473,2.66556,True,True,https://understat.com/match/19521
3,2022,19516,2023-02-12 16:30:00,134,132,FC Cologne,Eintracht Frankfurt,EIN,COL,3,0,1.72186,0.368809,True,True,https://understat.com/match/19516
3,2022,19519,2023-02-12 14:30:00,122,130,Hertha Berlin,Borussia M.Gladbach,BMG,HER,4,1,2.64788,0.421257,True,True,https://understat.com/match/19519
3,2022,19529,2023-02-17 19:30:00,121,120,Augsburg,Hoffenheim,HOF,AUG,1,0,1.48158,0.446218,True,True,https://understat.com/match/19529
3,2022,19528,2023-02-18 14:30:00,268,135,Bochum,Freiburg,FRE,BOC,0,2,1.40839,2.39926,True,True,https://understat.com/match/19528
3,2022,19525,2023-02-18 14:30:00,130,117,Borussia M.Gladbach,Bayern Munich,BAY,BMG,3,2,2.26574,1.22226,True,True,https://understat.com/match/19525
3,2022,19526,2023-02-18 17:30:00,132,123,Eintracht Frankfurt,Werder Bremen,WER,EIN,2,0,2.08148,0.150794,True,True,https://understat.com/match/19526
3,2022,19530,2023-02-18 14:30:00,133,134,VfB Stuttgart,FC Cologne,COL,STU,3,0,1.69842,0.452073,True,True,https://understat.com/match/19530
3,2022,19527,2023-02-18 14:30:00,131,136,Wolfsburg,RasenBallsport Leipzig,RBL,WOL,0,3,0.26411,3.04805,True,True,https://understat.com/match/19527
3,2022,19523,2023-02-19 18:30:00,119,125,Bayer Leverkusen,Mainz 05,MAI,LEV,2,3,3.01434,2.00397,True,True,https://understat.com/match/19523
3,2022,19522,2023-02-19 16:30:00,129,122,Borussia Dortmund,Hertha Berlin,HER,DOR,4,1,2.34937,1.41428,True,True,https://understat.com/match/19522
3,2022,19524,2023-02-19 14:30:00,240,124,Union Berlin,Schalke 04,SCH,UNI,0,0,0.827192,0.385916,True,True,https://understat.com/match/19524
3,2022,19535,2023-02-24 19:30:00,125,130,Mainz 05,Borussia M.Gladbach,BMG,MAI,4,0,2.95117,0.718556,True,True,https://understat.com/match/19535
3,2022,19534,2023-02-25 14:30:00,134,131,FC Cologne,Wolfsburg,WOL,COL,0,2,1.03484,1.00016,True,True,https://understat.com/match/19534
3,2022,19537,2023-02-25 14:30:00,122,121,Hertha Berlin,Augsburg,AUG,HER,2,0,0.452901,0.405958,True,True,https://understat.com/match/19537
3,2022,19536,2023-02-25 14:30:00,120,129,Hoffenheim,Borussia Dortmund,DOR,HOF,0,1,0.873677,2.75881,True,True,https://understat.com/match/19536
3,2022,19532,2023-02-25 14:30:00,136,132,RasenBallsport Leipzig,Eintracht Frankfurt,EIN,RBL,2,1,1.89992,0.85563,True,True,https://understat.com/match/19532
3,2022,19538,2023-02-25 17:30:00,124,133,Schalke 04,VfB Stuttgart,STU,SCH,2,1,1.86618,1.66843,True,True,https://understat.com/match/19538
3,2022,19539,2023-02-25 14:30:00,123,268,Werder Bremen,Bochum,BOC,WER,3,0,1.17524,0.396228,True,True,https://understat.com/match/19539
3,2022,19531,2023-02-26 16:30:00,117,240,Bayern Munich,Union Berlin,UNI,BAY,3,0,3.86403,0.212984,True,True,https://understat.com/match/19531
3,2022,19533,2023-02-26 14:30:00,135,119,Freiburg,Bayer Leverkusen,LEV,FRE,1,1,1.288,2.0609,True,True,https://understat.com/match/19533
3,2022,19540,2023-03-03 19:30:00,129,136,Borussia Dortmund,RasenBallsport Leipzig,RBL,DOR,2,1,1.12897,2.19847,True,True,https://understat.com/match/19540
3,2022,19547,2023-03-04 14:30:00,121,123,Augsburg,Werder Bremen,WER,AUG,2,1,0.493189,1.68845,True,True,https://understat.com/match/19547
3,2022,19546,2023-03-04 14:30:00,268,124,Bochum,Schalke 04,SCH,BOC,0,2,0.926001,0.873349,True,True,https://understat.com/match/19546
3,2022,19544,2023-03-04 14:30:00,130,135,Borussia M.Gladbach,Freiburg,FRE,BMG,0,0,1.11415,0.286316,True,True,https://understat.com/match/19544
3,2022,19543,2023-03-04 14:30:00,125,120,Mainz 05,Hoffenheim,HOF,MAI,1,0,1.03595,0.616344,True,True,https://understat.com/match/19543
3,2022,19542,2023-03-04 14:30:00,240,134,Union Berlin,FC Cologne,COL,UNI,0,0,0.456889,0.798698,True,True,https://understat.com/match/19542
3,2022,19548,2023-03-04 17:30:00,133,117,VfB Stuttgart,Bayern Munich,BAY,STU,1,2,0.596921,2.55612,True,True,https://understat.com/match/19548
3,2022,19541,2023-03-05 14:30:00,119,122,Bayer Leverkusen,Hertha Berlin,HER,LEV,4,1,2.2646,0.957931,True,True,https://understat.com/match/19541
