season,season_label,game_id,team,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711488,SC Freiburg,26.96551724137931,3,15,0.2
2425,2024/2025,711489,1. FC Union Berlin,28.0,2,14,0.14285714285714285
2425,2024/2025,711489,Holstein Kiel,27.107142857142858,0,12,0.0
2425,2024/2025,711490,Bayern Munich,25.970588235294116,4,22,0.18181818181818182
2425,2024/2025,711490,VfB Stuttgart,25.15625,0,4,0.0
2425,2024/2025,711491,1. FC Heidenheim 1846,27.79310344827586,2,19,0.10526315789473684
2425,2024/2025,711491,Borussia Mönchengladbach,26.06896551724138,3,20,0.15
2425,2024/2025,711492,Borussia Dortmund,25.37142857142857,2,20,0.1
2425,2024/2025,711492,St. Pauli,26.176470588235293,1,10,0.1
2425,2024/2025,711493,Bayer Leverkusen,25.903225806451612,2,27,0.07407407407407407
2425,2024/2025,711493,Eintracht Frankfurt,25.266666666666666,1,9,0.1111111111111111
2425,2024/2025,711494,Mainz,27.642857142857142,0,17,0.0
2425,2024/2025,711494,RB Leipzig,24.37142857142857,2,11,0.18181818181818182
2425,2024/2025,711495,1. FC Heidenheim 1846,27.79310344827586,0,17,0.0
2425,2024/2025,711495,TSG Hoffenheim,25.714285714285715,0,12,0.0
2425,2024/2025,711496,1. FC Union Berlin,28.0,1,13,0.07692307692307693
2425,2024/2025,711496,Eintracht Frankfurt,25.266666666666666,1,17,0.058823529411764705
2425,2024/2025,711497,Borussia Mönchengladbach,26.06896551724138,1,9,0.1111111111111111
2425,2024/2025,711497,Mainz,27.642857142857142,1,23,0.043478260869565216
2425,2024/2025,711498,Borussia Dortmund,25.37142857142857,1,11,0.09090909090909091
2425,2024/2025,711498,FC Augsburg,26.235294117647058,2,12,0.16666666666666666
2425,2024/2025,711499,Bayern Munich,25.970588235294116,5,19,0.2631578947368421
2425,2024/2025,711499,VfL Bochum,27.580645161290324,0,6,0.0
2425,2024/2025,711500,RB Leipzig,24.37142857142857,3,12,0.25
2425,2024/2025,711500,SC Freiburg,26.96551724137931,1,15,0.06666666666666667
2425,2024/2025,711501,Bayer Leverkusen,25.903225806451612,2,14,0.14285714285714285
2425,2024/2025,711501,Werder Bremen,26.21875,2,13,0.15384615384615385
2425,2024/2025,711502,Holstein Kiel,27.107142857142858,1,9,0.1111111111111111
2425,2024/2025,711502,VfB Stuttgart,25.15625,2,16,0.125
2425,2024/2025,711503,St. Pauli,26.176470588235293,0,14,0.0
2425,2024/2025,711503,VfL Wolfsburg,25.4,0,9,0.0
2425,2024/2025,711504,Bayer Leverkusen,25.903225806451612,0,19,0.0
2425,2024/2025,711504,VfB Stuttgart,25.15625,0,4,0.0
2425,2024/2025,711505,Borussia Dortmund,25.37142857142857,2,20,0.1
2425,2024/2025,711505,RB Leipzig,24.37142857142857,1,7,0.14285714285714285
2425,2024/2025,711506,FC Augsburg,26.235294117647058,1,3,0.3333333333333333
2425,2024/2025,711506,VfL Wolfsburg,25.4,1,18,0.05555555555555555
2425,2024/2025,711507,St. Pauli,26.176470588235293,2,7,0.2857142857142857
2425,2024/2025,711507,TSG Hoffenheim,25.714285714285715,0,12,0.0
2425,2024/2025,711508,Mainz,27.642857142857142,0,9,0.0
2425,2024/2025,711508,SC Freiburg,26.96551724137931,0,10,0.0
2425,2024/2025,711509,1. FC Heidenheim 1846,27.79310344827586,0,17,0.0
2425,2024/2025,711509,Holstein Kiel,27.107142857142858,1,11,0.09090909090909091
2425,2024/2025,711510,1. FC Union Berlin,28.0,0,8,0.0
2425,2024/2025,711510,Bayern Munich,25.970588235294116,3,16,0.1875
2425,2024/2025,711511,Eintracht Frankfurt,25.266666666666666,7,18,0.3888888888888889
2425,2024/2025,711511,VfL Bochum,27.580645161290324,2,11,0.18181818181818182
2425,2024/2025,711512,Borussia Mönchengladbach,26.06896551724138,4,16,0.25
2425,2024/2025,711512,Werder Bremen,26.21875,1,15,0.06666666666666667
2425,2024/2025,711513,1. FC Heidenheim 1846,27.79310344827586,1,19,0.05263157894736842
2425,2024/2025,711513,VfL Wolfsburg,25.4,3,13,0.23076923076923078
2425,2024/2025,711514,Eintracht Frankfurt,25.266666666666666,3,8,0.375
2425,2024/2025,711514,VfB Stuttgart,25.15625,2,22,0.09090909090909091
2425,2024/2025,711515,Holstein Kiel,27.107142857142858,1,12,0.08333333333333333
2425,2024/2025,711515,Werder Bremen,26.21875,2,16,0.125
2425,2024/2025,711516,Borussia Mönchengladbach,26.06896551724138,0,14,0.0
2425,2024/2025,711516,RB Leipzig,24.37142857142857,0,12,0.0
2425,2024/2025,711517,Bayer Leverkusen,25.903225806451612,1,11,0.09090909090909091
2425,2024/2025,711517,VfL Bochum,27.580645161290324,1,15,0.06666666666666667
2425,2024/2025,711518,FC Augsburg,26.235294117647058,0,16,0.0
2425,2024/2025,711518,TSG Hoffenheim,25.714285714285715,0,11,0.0
2425,2024/2025,711519,Borussia Dortmund,25.37142857142857,1,2,0.5
2425,2024/2025,711519,Mainz,27.642857142857142,3,13,0.23076923076923078
2425,2024/2025,711520,1. FC Union Berlin,28.0,0,12,0.0
2425,2024/2025,711520,SC Freiburg,26.96551724137931,0,14,0.0
2425,2024/2025,711521,Bayern Munich,25.970588235294116,1,13,0.07692307692307693
2425,2024/2025,711521,St. Pauli,26.176470588235293,0,3,0.0
2425,2024/2025,711522,1. FC Heidenheim 1846,27.79310344827586,2,6,0.3333333333333333
2425,2024/2025,711522,Bayer Leverkusen,25.903225806451612,5,20,0.25
2425,2024/2025,711523,Borussia Dortmund,25.37142857142857,4,19,0.21052631578947367
